MUNIC_RES	DIAG_PRINC	QTD
231020	B690	1
231025	A90	6
231025	B550	1
231030	A309	5
231030	A90	176
231030	B354	6
231030	B487	23
231030	B550	3
231050	B368	1
231050	B460	1
231060	A90	10
231060	A91	1
231070	A90	70
231070	A91	2
231070	B479	2
231080	A279	1
231080	A90	9
231085	A270	2
231085	A300	1
231090	A90	11
231100	A90	1
231110	A309	1
231110	A90	16
231110	B559	1
231120	A90	32
231123	B690	1
231126	A90	3
231126	A91	2
231126	B354	1
231126	B550	2
231130	A300	4
231130	A309	2
231130	A90	5
231130	B460	19
231130	B573	2
231135	A90	1
231140	A279	1
231140	A309	2
231140	A90	4
